workload,cache_size,block_size,associativity,hits,misses,hit_rate
sequential,1024,16,1,750,250,0.75
sequential,1024,16,2,750,250,0.75
sequential,1024,16,4,750,250,0.75
sequential,1024,32,1,875,125,0.875
sequential,1024,32,2,875,125,0.875
sequential,1024,32,4,875,125,0.875
sequential,1024,64,1,937,63,0.937
sequential,1024,64,2,937,63,0.937
sequential,1024,64,4,937,63,0.937
sequential,2048,16,1,750,250,0.75
sequential,2048,16,2,750,250,0.75
sequential,2048,16,4,750,250,0.75
sequential,2048,32,1,875,125,0.875
sequential,2048,32,2,875,125,0.875
sequential,2048,32,4,875,125,0.875
sequential,2048,64,1,937,63,0.937
sequential,2048,64,2,937,63,0.937
sequential,2048,64,4,937,63,0.937
sequential,4096,16,1,750,250,0.75
sequential,4096,16,2,750,250,0.75
sequential,4096,16,4,750,250,0.75
sequential,4096,32,1,875,125,0.875
sequential,4096,32,2,875,125,0.875
sequential,4096,32,4,875,125,0.875
sequential,4096,64,1,937,63,0.937
sequential,4096,64,2,937,63,0.937
sequential,4096,64,4,937,63,0.937
repeated,1024,16,1,999,1,0.999
repeated,1024,16,2,999,1,0.999
repeated,1024,16,4,999,1,0.999
repeated,1024,32,1,999,1,0.999
repeated,1024,32,2,999,1,0.999
repeated,1024,32,4,999,1,0.999
repeated,1024,64,1,999,1,0.999
repeated,1024,64,2,999,1,0.999
repeated,1024,64,4,999,1,0.999
repeated,2048,16,1,999,1,0.999
repeated,2048,16,2,999,1,0.999
repeated,2048,16,4,999,1,0.999
repeated,2048,32,1,999,1,0.999
repeated,2048,32,2,999,1,0.999
repeated,2048,32,4,999,1,0.999
repeated,2048,64,1,999,1,0.999
repeated,2048,64,2,999,1,0.999
repeated,2048,64,4,999,1,0.999
repeated,4096,16,1,999,1,0.999
repeated,4096,16,2,999,1,0.999
repeated,4096,16,4,999,1,0.999
repeated,4096,32,1,999,1,0.999
repeated,4096,32,2,999,1,0.999
repeated,4096,32,4,999,1,0.999
repeated,4096,64,1,999,1,0.999
repeated,4096,64,2,999,1,0.999
repeated,4096,64,4,999,1,0.999
random,1024,16,1,243,757,0.243
random,1024,16,2,261,739,0.261
random,1024,16,4,256,744,0.256
random,1024,32,1,261,739,0.261
random,1024,32,2,274,726,0.274
random,1024,32,4,272,728,0.272
random,1024,64,1,224,776,0.224
random,1024,64,2,240,760,0.24
random,1024,64,4,246,754,0.246
random,2048,16,1,446,554,0.446
random,2048,16,2,437,563,0.437
random,2048,16,4,453,547,0.453
random,2048,32,1,491,509,0.491
random,2048,32,2,477,523,0.477
random,2048,32,4,492,508,0.492
random,2048,64,1,476,524,0.476
random,2048,64,2,488,512,0.488
random,2048,64,4,495,505,0.495
random,4096,16,1,748,252,0.748
random,4096,16,2,748,252,0.748
random,4096,16,4,748,252,0.748
random,4096,32,1,872,128,0.872
random,4096,32,2,872,128,0.872
random,4096,32,4,872,128,0.872
random,4096,64,1,936,64,0.936
random,4096,64,2,936,64,0.936
random,4096,64,4,936,64,0.936
conflict,1024,16,1,0,1000,0.0
conflict,1024,16,2,0,1000,0.0
conflict,1024,16,4,996,4,0.996
conflict,1024,32,1,0,1000,0.0
conflict,1024,32,2,0,1000,0.0
conflict,1024,32,4,996,4,0.996
conflict,1024,64,1,0,1000,0.0
conflict,1024,64,2,0,1000,0.0
conflict,1024,64,4,996,4,0.996
conflict,2048,16,1,0,1000,0.0
conflict,2048,16,2,0,1000,0.0
conflict,2048,16,4,996,4,0.996
conflict,2048,32,1,0,1000,0.0
conflict,2048,32,2,0,1000,0.0
conflict,2048,32,4,996,4,0.996
conflict,2048,64,1,0,1000,0.0
conflict,2048,64,2,0,1000,0.0
conflict,2048,64,4,996,4,0.996
conflict,4096,16,1,996,4,0.996
conflict,4096,16,2,996,4,0.996
conflict,4096,16,4,996,4,0.996
conflict,4096,32,1,996,4,0.996
conflict,4096,32,2,996,4,0.996
conflict,4096,32,4,996,4,0.996
conflict,4096,64,1,996,4,0.996
conflict,4096,64,2,996,4,0.996
conflict,4096,64,4,996,4,0.996
